epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,979.67,1.29845,2.60487,2.13851,1.34,0.39777,0.31675,0.28254,0.16446,0.40184,0.32171,0.27787,0.14597,1.56321,3.36472,2.72413,1.63383,0.000411184,0.000411184,0.000411184
2,2267.38,1.35371,2.31893,1.63694,1.35822,0.37841,0.46259,0.32296,0.18007,0.34296,0.42746,0.28169,0.1389,1.52542,4.00176,3.2896,1.61313,0.000819655,0.000819655,0.000819655
3,8154.75,1.40704,2.35766,1.63526,1.40166,0.34072,0.3998,0.29719,0.15465,0.34005,0.38275,0.28038,0.12787,1.71616,4.37425,2.71265,1.65225,0.00121988,0.00121988,0.00121988
4,9225.74,1.39815,2.35019,1.58393,1.38576,0.47593,0.51685,0.40876,0.2588,0.46337,0.49888,0.38184,0.19962,1.5407,2.9378,2.31803,1.61563,0.00121287,0.00121287,0.00121287
5,10190.6,1.36087,2.34252,1.50182,1.36702,0.40748,0.61672,0.48923,0.31802,0.41089,0.59077,0.47085,0.245,1.3615,3.01947,1.69657,1.44085,0.0012005,0.0012005,0.0012005
6,11141.2,1.32302,2.28867,1.4676,1.33491,0.43928,0.62956,0.48368,0.30757,0.44176,0.59988,0.47705,0.25512,1.36112,2.52477,1.66726,1.42997,0.00118812,0.00118812,0.00118812
7,12084.7,1.31717,2.23873,1.41633,1.32205,0.47777,0.59089,0.47476,0.31017,0.47949,0.57112,0.46163,0.23927,1.41101,2.56217,1.65542,1.4767,0.00117575,0.00117575,0.00117575
8,13018.4,1.28219,2.17717,1.33921,1.30541,0.44974,0.6506,0.51308,0.35064,0.45016,0.6238,0.50665,0.29502,1.30953,2.37063,1.5565,1.36151,0.00116337,0.00116337,0.00116337
9,18338.1,1.25883,2.1217,1.3167,1.30322,0.49905,0.64109,0.56225,0.35806,0.48752,0.63664,0.53695,0.29358,1.29009,2.46245,1.45164,1.35591,0.001151,0.001151,0.001151
10,29841.7,1.22226,2.09768,1.27152,1.27197,0.54548,0.64691,0.60305,0.39312,0.55633,0.61511,0.58431,0.33222,1.28359,2.35968,1.35269,1.34297,0.00113863,0.00113863,0.00113863
11,30962.9,1.19582,2.0533,1.24404,1.26544,0.52841,0.63078,0.55054,0.34832,0.54419,0.62912,0.54976,0.28487,1.33446,2.42753,1.4429,1.41555,0.00112625,0.00112625,0.00112625
12,32109.3,1.19923,2.02989,1.18498,1.24877,0.42518,0.71584,0.55465,0.37038,0.42407,0.68191,0.54298,0.30719,1.28651,2.43837,1.39917,1.35301,0.00111388,0.00111388,0.00111388
13,33254.7,1.17363,1.9782,1.15572,1.23943,0.45319,0.74786,0.56273,0.39156,0.46572,0.73315,0.56268,0.33167,1.22488,2.37839,1.32487,1.31427,0.0011015,0.0011015,0.0011015
14,34626.3,1.1415,1.99826,1.11336,1.23245,0.56263,0.67581,0.64435,0.449,0.56449,0.67324,0.64608,0.36841,1.23639,2.45988,1.2673,1.33126,0.00108913,0.00108913,0.00108913
15,36048.3,1.15382,1.98852,1.09977,1.22614,0.5741,0.66192,0.62714,0.4409,0.57031,0.65615,0.62333,0.36252,1.23413,2.36117,1.37805,1.34609,0.00107675,0.00107675,0.00107675
16,37481.7,1.13935,1.91797,1.10927,1.22046,0.60423,0.69507,0.6478,0.44385,0.59261,0.67257,0.63355,0.36747,1.25114,2.33445,1.26885,1.30851,0.00106437,0.00106437,0.00106437
17,38926.5,1.12365,1.88886,1.05767,1.20661,0.63345,0.6815,0.69359,0.48935,0.63766,0.67692,0.68254,0.40305,1.21019,2.25015,1.1719,1.2956,0.001052,0.001052,0.001052
18,40378.9,1.10567,1.91259,1.01301,1.182,0.63128,0.67342,0.67186,0.47223,0.63292,0.67335,0.65771,0.40738,1.20999,2.18382,1.18947,1.28502,0.00103962,0.00103962,0.00103962
19,41854.5,1.09849,1.83378,0.99394,1.1869,0.56789,0.68913,0.64459,0.4511,0.56096,0.67919,0.62174,0.35703,1.21702,2.4111,1.29083,1.33062,0.00102725,0.00102725,0.00102725
20,43972.8,1.08625,1.824,0.98311,1.19658,0.67925,0.63085,0.67239,0.47282,0.66688,0.62374,0.65703,0.381,1.24265,2.30361,1.28853,1.34656,0.00101488,0.00101488,0.00101488
21,45318.2,1.07502,1.81087,0.98392,1.18374,0.63813,0.67705,0.67455,0.48685,0.63869,0.67612,0.67167,0.40929,1.14186,2.32315,1.18608,1.25846,0.0010025,0.0010025,0.0010025
